type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
irs;16-05-12;12;3;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00435;-
irs;16-05-12;12;3;18;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0037625;-
irs;16-05-12;12;3;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,003175;-
irs;16-05-12;12;3;36;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0014;-
irs;16-05-12;12;3;48;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,000575;-
irs;16-05-12;12;3;60;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0027;-
irs;16-05-12;12;3;72;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0048;-
irs;16-05-12;12;3;84;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00675;-
irs;16-05-12;12;3;96;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00845;-
irs;16-05-12;12;3;108;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,009925;-
irs;16-05-12;12;3;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,011175;-
irs;16-05-12;12;3;144;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,013275;-
irs;16-05-12;12;3;180;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,015675;-
irs;16-05-12;12;3;240;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01805;-
irs;16-05-12;12;3;300;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,019575;-
irs;16-05-12;12;3;360;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,019975;-
ccs;16-05-12;3;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,002175;SEK
ccs;16-05-12;3;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0019;SEK
ccs;16-05-12;3;3;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,00165;SEK
ccs;16-05-12;3;3;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001375;SEK
ccs;16-05-12;3;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0011;SEK
ccs;16-05-12;3;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000425;SEK
ccs;16-05-12;3;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,000175;SEK
ccs;16-05-12;3;3;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,000875;SEK
ccs;16-05-12;3;3;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00135;SEK
ccs;16-05-12;3;3;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,001875;SEK
ts;16-05-12;3;6;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,002225;-
ts;16-05-12;3;6;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0021375;-
ts;16-05-12;3;6;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0020375;-
ts;16-05-12;3;6;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0018625;-
ts;16-05-12;3;6;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00175;-
ts;16-05-12;3;6;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0016375;-
ts;16-05-12;3;6;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00158;-
ts;16-05-12;3;6;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0015375;-
ts;16-05-12;3;6;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0015125;-
ts;16-05-12;3;6;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0015625;-
ts;16-05-12;3;6;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,001575;-
ts;16-05-12;3;6;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0016;-
ts;16-05-12;3;6;300;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0015875;-
ts;16-05-12;3;6;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,001575;-
fra;16-05-12;1;4;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00646;-
fra;16-05-12;2;5;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00683;-
fra;16-05-12;3;6;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00711;-
fra;16-05-12;4;7;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00742;-
fra;16-05-12;5;8;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00772;-
fra;16-05-12;6;9;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00798;-
fra;16-05-12;7;10;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00825;-
fra;16-05-12;8;11;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00844;-
fra;16-05-12;9;12;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00863;-
fra;16-05-12;10;13;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00882;-
fra;16-05-12;11;14;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00897;-
fra;16-05-12;12;15;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00912;-
fra;16-05-12;13;16;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00928;-
fra;16-05-12;14;17;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00943;-
fra;16-05-12;15;18;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00959;-
fra;16-05-12;16;19;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00976;-
fra;16-05-12;17;20;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00996;-
fra;16-05-12;18;21;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01015;-
fra;16-05-12;19;22;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0104;-
fra;16-05-12;20;23;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01048;-
fra;16-05-12;21;24;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01061;-
fra;16-05-12;1;4;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0044;-
fra;16-05-12;4;7;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00445;-
fra;16-05-12;7;10;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00435;-
fra;16-05-12;10;13;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0037;-
fra;16-05-12;13;16;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00295;-
fra;16-05-12;16;19;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0021;-
fra;16-05-12;19;22;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0012;-
fra;16-05-12;22;25;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00019;-
fra;16-05-12;25;28;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00085;-
fra;16-05-12;28;31;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00195;-
fra;16-05-12;31;34;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00305;-
fra;16-05-12;34;37;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00415;-
