type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;14-08-08;7;7;7;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,005453;-
ois;14-08-08;8;8;8;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00572;-
ois;14-08-08;9;9;9;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,005958;-
ois;14-08-08;10;10;10;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,006279;-
ois;14-08-08;11;11;11;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,006562;-
ois;14-08-08;12;12;12;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,006873;-
ois;14-08-08;12;12;15;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00785;-
ois;14-08-08;12;12;18;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0088125;-
ois;14-08-08;12;12;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,010629;-
ois;14-08-08;12;12;48;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,016075;-
ois;14-08-08;12;12;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,017675;-
ois;14-08-08;12;12;72;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,018925;-
ois;14-08-08;12;12;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0199;-
ois;14-08-08;12;12;96;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02075;-
ois;14-08-08;12;12;108;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0215;-
ois;14-08-08;12;12;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0222125;-
ois;14-08-08;12;12;144;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02345;-
ois;14-08-08;12;12;180;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02485;-
ois;14-08-08;12;12;240;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02625;-
ois;14-08-08;12;12;300;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0267125;-
ois;14-08-08;12;12;360;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02685;-
ois;14-08-08;1;1;1;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00285;-
ois;14-08-08;2;2;2;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0028;-
ois;14-08-08;3;3;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,002875;-
ois;14-08-08;6;6;6;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0027;-
ois;14-08-08;9;9;9;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0027;-
ois;14-08-08;12;12;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00275;-
ois;14-08-08;12;12;15;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,003;-
ois;14-08-08;12;12;18;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,003275;-
