type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-04-01;7;7;7;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00403;-
ois;16-04-01;8;8;8;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00396;-
ois;16-04-01;9;9;9;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,003961;-
ois;16-04-01;10;10;10;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0039;-
ois;16-04-01;11;11;11;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00387;-
ois;16-04-01;12;12;12;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00385;-
ois;16-04-01;12;12;15;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,004;-
ois;16-04-01;12;12;18;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00399;-
ois;16-04-01;12;12;21;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00408;-
ois;16-04-01;12;12;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00409;-
ois;16-04-01;12;12;36;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00521;-
ois;16-04-01;12;12;48;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00555;-
ois;16-04-01;12;12;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0064;-
ois;16-04-01;12;12;72;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00734;-
ois;16-04-01;12;12;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00837;-
ois;16-04-01;12;12;96;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00935;-
ois;16-04-01;12;12;108;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01025;-
ois;16-04-01;12;12;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01105;-
ois;16-04-01;12;12;144;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01244;-
ois;16-04-01;12;12;180;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01382;-
ois;16-04-01;12;12;240;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01485;-
ois;16-04-01;12;12;300;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01509;-
ois;16-04-01;12;12;360;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01554;-
ois;16-04-01;1;1;1;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0053;-
ois;16-04-01;2;2;2;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0053;-
